Latitude,Longitude,Community Areas,Area(unit)
41.895251,-87.746162,Austin,170037750.826
41.9168751,-87.72791579999999,Hermosa,32602059.4055
41.7517325,-87.5638319,South Chicago,93272185.0092
41.851033799999996,-87.62775400000001,Near South Side,34252582.7003
41.807474,-87.60468,Kenwood,29071741.9283
41.79962020000001,-87.6039048,Hyde Park,38859161.8437
41.98988920000001,-87.6993591,West Ridge,98429094.8621
41.99805429999999,-87.6707045,Edgewater,38865397.6718
41.911245,-87.773121,Austin,170037750.826
41.878370399999994,-87.76141870000001,Austin,170037750.826
41.880101,-87.749851,Austin,170037750.826
41.910555,-87.74549499999999,Austin,170037750.826
41.8839129,-87.68017979999999,United Center,32520512.7053
41.7593544,-87.5617363,South Shore,81812716.3904
41.748058,-87.558015,South Chicago,93272185.0092
41.75179979999999,-87.5589791,South Chicago,93272185.0092
41.856898,-87.72327790000001,North Lawndale,89487422.0244
41.807199600000004,-87.6612618,New City,134636963.254
41.9191273,-87.6941391,Logan Square,71256806.5518
41.8789049,-87.72331190000001,Garfield Park,89976069.5947
41.8785292,-87.7493661,Austin,170037750.826
41.8794299,-87.749402,Austin,170037750.826
41.891159,-87.743459,Austin,170037750.826
41.745333,-87.73316679999999,Ashburn,135460337.208
41.776427399999996,-87.6270988,Grand Crossing,98853167.7093
41.8480786,-87.7004065,Little Village,127998297.819
41.833824,-87.682349,Mckinley Park,39431799.6479
41.852908,-87.69834200000001,Little Village,127998297.819
41.87852,-87.73275600000001,Garfield Park,89976069.5947
41.848145,-87.694073,Little Village,127998297.819
41.8283213,-87.69234990000001,Brighton Park,75892790.3114
41.8244296,-87.70393659999999,Brighton Park,75892790.3114
41.8357696,-87.67977409999999,Mckinley Park,39431799.6479
41.846231,-87.692663,Little Village,127998297.819
41.881347999999996,-87.7523,Austin,170037750.826
41.8930845,-87.75278709999999,Austin,170037750.826
41.854014,-87.69657,Little Village,127998297.819
41.806564,-87.6754969,New City,134636963.254
41.817357,-87.686802,Brighton Park,75892790.3114
